time,x,y,z
2.455,-0.042,0.12,0.932
2.46,-0.046,0.118,0.929
2.465,-0.047,0.113,0.924
2.469,-0.046,0.115,0.919
2.476,-0.044,0.115,0.919
2.479,-0.046,0.118,0.923
2.485,-0.044,0.128,0.929
2.49,-0.043,0.133,0.942
2.495,-0.045,0.137,0.955
2.499,-0.048,0.146,0.966
2.505,-0.047,0.142,0.967
2.512,-0.048,0.142,0.961
2.515,-0.047,0.14,0.956
2.522,-0.047,0.138,0.946
2.535,-0.047,0.142,0.936
2.536,-0.054,0.143,0.925
2.538,-0.058,0.143,0.916
2.543,-0.059,0.148,0.913
2.545,-0.059,0.152,0.914
2.55,-0.061,0.157,0.911
2.555,-0.058,0.164,0.911
2.56,-0.054,0.169,0.918
2.565,-0.049,0.175,0.928
2.569,-0.043,0.182,0.933
2.575,-0.041,0.188,0.94
2.58,-0.04,0.195,0.947
2.585,-0.043,0.199,0.954
2.592,-0.045,0.2,0.962
2.595,-0.047,0.201,0.966
2.6,-0.044,0.201,0.967
2.605,-0.041,0.204,0.964
2.612,-0.034,0.208,0.964
2.615,-0.028,0.216,0.971
2.619,-0.032,0.22,0.979
2.664,-0.034,0.223,0.984
2.665,-0.029,0.229,1
2.666,-0.028,0.232,1.013
2.667,-0.032,0.233,1.018
2.667,-0.03,0.234,1.036
2.668,-0.027,0.23,1.052
2.67,-0.025,0.226,1.067
2.671,-0.027,0.222,1.082
2.672,-0.033,0.214,1.093
2.672,-0.041,0.205,1.097
2.676,-0.051,0.198,1.103
2.68,-0.063,0.187,1.112
2.685,-0.078,0.171,1.116
2.692,-0.091,0.155,1.115
2.695,-0.104,0.144,1.112
2.7,-0.115,0.136,1.108
2.707,-0.125,0.129,1.108
2.71,-0.13,0.123,1.113
2.715,-0.126,0.119,1.123
2.719,-0.119,0.12,1.129
2.725,-0.113,0.119,1.134
2.73,-0.112,0.119,1.139
2.735,-0.11,0.12,1.147
2.752,-0.109,0.12,1.161
2.753,-0.111,0.121,1.178
2.754,-0.121,0.112,1.208
2.755,-0.14,0.097,1.248
2.775,-0.156,0.079,1.29
2.776,-0.156,0.067,1.329
2.777,-0.148,0.053,1.35
2.778,-0.139,0.041,1.36
2.78,-0.138,0.021,1.375
2.785,-0.147,-0.007,1.396
2.79,-0.16,-0.031,1.411
2.795,-0.161,-0.057,1.416
2.8,-0.157,-0.084,1.414
2.811,-0.149,-0.105,1.399
2.812,-0.135,-0.117,1.382
2.815,-0.124,-0.115,1.344
2.82,-0.119,-0.103,1.292
2.825,-0.12,-0.082,1.223
2.83,-0.126,-0.061,1.151
2.835,-0.129,-0.04,1.085
2.84,-0.122,-0.025,1.019
2.845,-0.117,-0.018,0.96
2.85,-0.109,-0.009,0.914
2.86,-0.101,-0.008,0.878
2.861,-0.095,-0.002,0.849
2.865,-0.088,0.002,0.842
2.87,-0.088,0.004,0.847
2.876,-0.089,0.008,0.862
2.88,-0.093,0.008,0.885
2.885,-0.103,0.001,0.919
2.892,-0.102,-0.006,0.954
2.895,-0.104,-0.017,0.974
2.9,-0.096,-0.02,0.99
2.949,-0.097,-0.021,0.992
2.95,-0.099,-0.021,0.976
2.95,-0.102,-0.019,0.958
2.951,-0.105,-0.011,0.933
2.952,-0.107,-0.003,0.898
2.952,-0.109,0.003,0.876
2.953,-0.107,0.012,0.846
2.953,-0.112,0.016,0.815
2.954,-0.112,0.025,0.794
2.955,-0.115,0.027,0.769
2.956,-0.122,0.038,0.76
2.96,-0.128,0.043,0.748
2.965,-0.135,0.046,0.736
2.971,-0.136,0.055,0.729
2.975,-0.125,0.063,0.717
2.98,-0.128,0.064,0.698
2.985,-0.113,0.076,0.69
2.99,-0.106,0.085,0.685
2.995,-0.105,0.092,0.684
3,-0.106,0.106,0.681
3.005,-0.095,0.119,0.681
3.01,-0.086,0.133,0.68
3.015,-0.08,0.14,0.694
3.029,-0.088,0.14,0.708
3.03,-0.088,0.131,0.722
3.031,-0.098,0.122,0.746
3.036,-0.097,0.111,0.768
3.045,-0.102,0.093,0.793
3.05,-0.105,0.076,0.815
3.057,-0.108,0.061,0.846
3.061,-0.115,0.054,0.87
3.065,-0.13,0.045,0.895
3.12,-0.136,0.041,0.92
3.121,-0.147,0.039,0.944
3.122,-0.159,0.036,0.964
3.123,-0.166,0.03,0.975
3.124,-0.176,0.03,0.983
3.125,-0.18,0.034,0.988
3.126,-0.18,0.027,0.996
3.127,-0.186,0.031,0.993
3.128,-0.184,0.033,0.981
3.128,-0.181,0.045,0.96
3.129,-0.17,0.059,0.935
3.13,-0.157,0.075,0.9
3.131,-0.142,0.091,0.856
3.139,-0.143,0.103,0.823
3.141,-0.139,0.114,0.8
3.146,-0.13,0.125,0.771
3.15,-0.136,0.133,0.749
3.157,-0.152,0.122,0.737
3.16,-0.165,0.114,0.73
3.165,-0.17,0.112,0.723
3.173,-0.172,0.118,0.71
3.176,-0.168,0.128,0.708
3.18,-0.171,0.128,0.714
3.189,-0.173,0.132,0.722
3.19,-0.174,0.135,0.725
3.195,-0.179,0.138,0.736
3.2,-0.178,0.14,0.751
3.205,-0.173,0.145,0.766
3.21,-0.168,0.152,0.787
3.215,-0.159,0.153,0.793
3.22,-0.158,0.156,0.808
3.225,-0.163,0.155,0.815
3.229,-0.167,0.152,0.817
3.235,-0.162,0.152,0.825
3.239,-0.157,0.164,0.829
3.244,-0.158,0.169,0.841
3.249,-0.161,0.175,0.84
3.255,-0.163,0.174,0.842
3.259,-0.161,0.175,0.853
3.264,-0.157,0.176,0.863
3.27,-0.15,0.176,0.882
3.274,-0.142,0.172,0.899
3.279,-0.136,0.167,0.921
3.285,-0.131,0.165,0.939
3.289,-0.137,0.161,0.965
3.294,-0.14,0.158,0.986
3.306,-0.14,0.155,1.007
3.307,-0.141,0.15,1.026
3.309,-0.14,0.147,1.04
3.319,-0.137,0.143,1.064
3.319,-0.129,0.141,1.087
3.324,-0.121,0.137,1.11
3.33,-0.115,0.132,1.136
3.335,-0.101,0.127,1.152
3.339,-0.084,0.126,1.17
3.344,-0.071,0.125,1.18
3.351,-0.063,0.12,1.187
3.354,-0.05,0.113,1.189
3.36,-0.036,0.11,1.182
3.365,-0.025,0.106,1.178
3.37,-0.019,0.102,1.171
3.375,-0.018,0.102,1.159
3.38,-0.019,0.097,1.147
3.385,-0.02,0.091,1.13
3.39,-0.018,0.083,1.114
3.395,-0.018,0.075,1.103
3.401,-0.018,0.066,1.102
3.406,-0.017,0.053,1.104
3.41,-0.017,0.038,1.112
3.418,-0.023,0.019,1.124
3.42,-0.018,0.009,1.141
3.425,0.004,0.006,1.15
3.43,0.024,0.002,1.161
3.437,0.037,-0.001,1.184
3.44,0.055,0,1.202
3.445,0.072,0.003,1.226
3.465,0.07,0,1.262
3.466,0.048,-0.012,1.302
3.467,0.011,-0.028,1.347
3.468,-0.038,-0.048,1.387
3.47,-0.091,-0.076,1.415
3.475,-0.147,-0.109,1.435
3.485,-0.195,-0.146,1.436
3.486,-0.24,-0.185,1.412
3.491,-0.279,-0.222,1.368
3.497,-0.304,-0.25,1.308
3.502,-0.309,-0.259,1.23
3.505,-0.297,-0.251,1.143
3.51,-0.279,-0.237,1.052
3.517,-0.264,-0.206,0.971
3.52,-0.242,-0.153,0.909
3.559,-0.207,-0.089,0.868
3.56,-0.166,-0.024,0.837
3.561,-0.119,0.039,0.833
3.562,-0.067,0.099,0.855
3.563,-0.013,0.156,0.902
3.563,0.041,0.194,0.962
3.564,0.085,0.211,1.049
3.565,0.116,0.208,1.134
3.565,0.12,0.188,1.217
3.57,0.107,0.149,1.283
3.575,0.083,0.099,1.334
3.588,0.053,0.052,1.368
3.589,0.024,0.009,1.388
3.59,0.002,-0.03,1.385
3.595,-0.012,-0.065,1.368
3.607,-0.025,-0.086,1.339
3.608,-0.033,-0.097,1.303
3.61,-0.04,-0.098,1.264
3.616,-0.038,-0.087,1.21
3.62,-0.043,-0.066,1.161
3.625,-0.052,-0.035,1.12
3.632,-0.053,-0.001,1.084
3.635,-0.044,0.037,1.049
3.64,-0.032,0.063,1.012
3.645,-0.021,0.082,0.978
3.653,-0.008,0.097,0.946
3.655,0.007,0.108,0.909
3.66,0.013,0.116,0.869
3.665,0.013,0.126,0.833
3.67,0.013,0.131,0.791
3.674,0.007,0.134,0.751
3.68,-0.001,0.145,0.718
3.684,-0.009,0.151,0.682
3.689,-0.009,0.158,0.661
3.694,-0.01,0.16,0.624
3.699,-0.014,0.158,0.591
3.704,-0.016,0.155,0.566
3.709,-0.027,0.154,0.543
3.715,-0.03,0.149,0.522
3.72,-0.037,0.148,0.503
3.725,-0.045,0.146,0.478
3.73,-0.055,0.146,0.457
3.734,-0.07,0.147,0.438
3.739,-0.068,0.147,0.42
3.746,-0.078,0.152,0.418
3.752,-0.087,0.161,0.421
3.755,-0.092,0.17,0.439
3.76,-0.091,0.183,0.446
3.765,-0.099,0.188,0.472
3.77,-0.102,0.193,0.507
3.775,-0.098,0.198,0.54
3.785,-0.098,0.203,0.567
3.79,-0.1,0.194,0.603
3.798,-0.105,0.188,0.651
3.8,-0.098,0.176,0.67
3.805,-0.09,0.176,0.703
3.81,-0.085,0.169,0.733
3.817,-0.086,0.165,0.757
3.82,-0.096,0.16,0.79
3.825,-0.103,0.15,0.821
3.835,-0.111,0.142,0.847
3.836,-0.114,0.128,0.868
3.84,-0.119,0.122,0.888
3.847,-0.117,0.115,0.916
3.85,-0.116,0.109,0.922
3.855,-0.124,0.103,0.946
3.861,-0.135,0.098,0.96
3.873,-0.141,0.094,0.969
3.875,-0.157,0.089,0.978
3.877,-0.17,0.089,0.985
3.88,-0.183,0.081,0.982
3.941,-0.195,0.072,0.973
3.943,-0.21,0.074,0.972
3.945,-0.218,0.078,0.962
3.946,-0.222,0.086,0.944
3.947,-0.226,0.086,0.935
3.948,-0.224,0.092,0.922
3.949,-0.225,0.104,0.913
3.95,-0.222,0.114,0.91
3.95,-0.22,0.124,0.913
3.951,-0.214,0.136,0.923
3.952,-0.214,0.142,0.94
3.953,-0.212,0.152,0.968
3.955,-0.207,0.158,1.007
3.958,-0.193,0.162,1.045
3.959,-0.172,0.156,1.081
3.965,-0.149,0.157,1.124
3.966,-0.131,0.153,1.175
3.97,-0.114,0.15,1.229
3.975,-0.109,0.145,1.277
3.981,-0.109,0.134,1.321
3.985,-0.111,0.12,1.354
3.991,-0.115,0.108,1.377
4.009,-0.128,0.096,1.403
4.011,-0.144,0.084,1.422
4.012,-0.164,0.068,1.446
4.013,-0.19,0.053,1.465
4.015,-0.211,0.037,1.482
4.02,-0.226,0.02,1.487
4.035,-0.238,0.003,1.488
4.047,-0.249,-0.014,1.487
4.048,-0.262,-0.033,1.482
4.049,-0.274,-0.059,1.481
4.051,-0.289,-0.08,1.477
4.052,-0.299,-0.099,1.468
4.058,-0.304,-0.116,1.451
4.06,-0.302,-0.128,1.421
4.065,-0.29,-0.132,1.372
4.07,-0.272,-0.129,1.303
4.078,-0.252,-0.11,1.216
4.08,-0.236,-0.083,1.122
4.085,-0.22,-0.06,1.026
4.09,-0.212,-0.038,0.925
4.096,-0.202,-0.01,0.828
4.1,-0.186,0.021,0.742
4.105,-0.173,0.055,0.67
4.111,-0.169,0.09,0.613
4.115,-0.17,0.125,0.571
4.12,-0.175,0.157,0.555
4.127,-0.176,0.179,0.564
4.13,-0.171,0.192,0.592
4.135,-0.167,0.19,0.643
