time,x,y,z
3.319,-0.057,0.602,0.316
3.323,-0.058,0.6,0.33
3.328,-0.051,0.6,0.345
3.333,-0.044,0.611,0.365
3.338,-0.029,0.617,0.382
3.343,-0.023,0.612,0.39
3.353,-0.016,0.596,0.395
3.353,-0.002,0.589,0.417
3.358,0.002,0.583,0.444
3.368,0.003,0.575,0.455
3.369,0.016,0.562,0.469
3.378,0.029,0.566,0.476
3.383,0.048,0.57,0.493
3.388,0.072,0.589,0.516
3.393,0.091,0.615,0.532
3.399,0.104,0.651,0.526
3.403,0.117,0.684,0.52
3.408,0.129,0.713,0.491
3.413,0.136,0.726,0.495
3.418,0.198,0.813,0.534
3.423,0.269,0.932,0.542
3.428,0.347,1.026,0.334
3.433,0.372,1.089,0.15
3.438,0.278,1.156,-0.009
3.443,0.119,1.223,-0.239
3.449,0.04,1.329,-0.418
3.453,0.037,1.467,-0.493
3.458,0.01,1.532,-0.407
3.463,-0.025,1.572,-0.1
3.468,0.014,1.646,0.285
3.473,0.14,1.766,0.628
3.478,0.263,1.857,0.899
3.486,0.338,1.88,0.998
3.488,0.335,1.794,0.941
3.493,0.285,1.633,0.785
3.508,0.206,1.419,0.63
3.509,0.107,1.202,0.571
3.509,0.061,1.035,0.612
3.513,0.081,0.901,0.681
3.518,0.183,0.819,0.764
3.523,0.313,0.785,0.853
3.528,0.357,0.792,0.908
3.544,0.307,0.859,0.928
3.545,0.269,1.009,0.913
3.545,0.275,1.23,0.777
3.549,0.268,1.467,0.565
3.553,0.244,1.663,0.196
3.558,0.215,1.785,-0.266
3.565,0.184,1.849,-0.542
3.568,0.105,1.863,-0.439
3.573,-0.058,1.809,-0.048
3.578,-0.265,1.628,0.268
3.583,-0.425,1.336,0.284
3.588,-0.47,1.044,0.124
3.593,-0.392,0.853,-0.012
3.6,-0.316,0.742,-0.049
3.603,-0.3,0.659,0.019
3.608,-0.294,0.596,0.094
3.616,-0.276,0.561,0.077
3.618,-0.241,0.538,-0.011
3.624,-0.219,0.528,-0.046
3.628,-0.173,0.547,0.022
3.634,-0.093,0.588,0.097
3.638,-0.001,0.651,0.112
3.643,0.085,0.725,0.067
3.658,0.149,0.806,0.021
3.659,0.194,0.897,0.024
3.66,0.244,0.988,0.061
3.666,0.295,1.071,0.106
3.668,0.33,1.123,0.13
3.672,0.348,1.13,0.114
3.678,0.35,1.114,0.076
3.683,0.335,1.1,0.04
3.688,0.307,1.095,0.019
3.693,0.278,1.089,0.047
3.698,0.234,1.052,0.093
3.703,0.18,0.997,0.128
3.707,0.127,0.946,0.139
3.714,0.078,0.902,0.122
3.717,0.057,0.872,0.099
3.723,0.056,0.864,0.064
3.729,0.058,0.867,0.021
3.732,0.055,0.871,-0.009
3.737,0.039,0.878,-0.017
3.743,0.005,0.878,-0.002
3.747,-0.012,0.884,0.039
3.752,-0.004,0.903,0.085
3.758,0.02,0.922,0.113
3.765,0.069,0.934,0.151
3.768,0.111,0.933,0.178
3.772,0.115,0.91,0.173
3.781,0.125,0.877,0.122
3.782,0.118,0.853,0.087
3.788,0.087,0.83,0.061
3.793,0.036,0.81,0.028
3.798,0.011,0.811,0
3.803,0.018,0.803,-0.01
3.807,0.02,0.804,-0.044
3.815,0.048,0.81,-0.072
3.817,0.096,0.85,-0.074
3.822,0.153,0.871,-0.071
3.831,0.167,0.852,-0.091
3.832,0.173,0.814,-0.082
3.837,0.179,0.815,-0.039
3.842,0.2,0.858,0.035
3.847,0.18,0.895,0.062
3.852,0.186,0.907,0.015
3.857,0.182,0.848,-0.068
3.862,0.139,0.796,-0.071
3.867,0.065,0.797,-0.026
3.872,-0.009,0.796,0.016
3.878,-0.035,0.777,0.004
3.882,-0.028,0.759,-0.036
3.887,0.005,0.753,-0.097
3.892,0.051,0.758,-0.118
3.897,0.102,0.779,-0.125
3.902,0.138,0.808,-0.138
3.908,0.163,0.842,-0.106
3.918,0.222,0.887,-0.064
3.919,0.277,0.917,-0.012
3.926,0.269,0.9,0.022
3.937,0.269,0.892,0.034
3.939,0.259,0.872,0.035
3.944,0.278,0.854,0.029
3.952,0.308,0.849,0.048
3.954,0.32,0.834,0.072
3.958,0.369,0.828,0.094
3.963,0.408,0.827,0.113
3.967,0.431,0.819,0.132
3.972,0.443,0.833,0.146
3.984,0.437,0.841,0.145
3.985,0.403,0.835,0.138
3.988,0.376,0.827,0.136
3.998,0.372,0.822,0.115
3.999,0.396,0.843,0.109
4.002,0.422,0.877,0.103
4.007,0.423,0.902,0.115
4.013,0.398,0.902,0.1
4.017,0.37,0.895,0.071
4.025,0.335,0.885,0.05
4.031,0.311,0.876,0.066
4.033,0.295,0.864,0.087
4.037,0.286,0.861,0.089
4.045,0.281,0.881,0.095
4.047,0.224,0.926,0.098
4.052,0.121,0.99,0.055
4.062,0.026,1.068,0.023
4.063,-0.03,1.144,0.004
4.075,-0.052,1.19,-0.052
4.076,-0.02,1.201,-0.142
4.109,0.083,1.196,-0.209
4.11,0.206,1.172,-0.232
4.111,0.295,1.129,-0.177
4.112,0.348,1.088,-0.049
4.113,0.361,1.066,0.104
4.114,0.32,1.057,0.212
4.115,0.252,1.069,0.254
4.116,0.163,1.095,0.227
4.117,0.087,1.146,0.151
4.123,0.025,1.227,0.074
4.127,-0.042,1.292,0.014
4.132,-0.067,1.338,-0.04
4.137,-0.006,1.387,-0.067
4.144,0.096,1.423,-0.073
4.147,0.177,1.404,-0.101
4.152,0.195,1.359,-0.138
4.157,0.126,1.324,-0.158
4.162,0.058,1.273,-0.161
4.167,0.047,1.219,-0.107
4.173,0.027,1.173,-0.05
4.18,0.006,1.131,-0.075
4.182,0.018,1.095,-0.132
4.187,0.058,1.06,-0.186
4.201,0.116,1.026,-0.218
4.202,0.161,0.979,-0.195
4.203,0.172,0.927,-0.155
4.208,0.145,0.904,-0.111
4.233,0.111,0.908,-0.055
4.245,0.088,0.923,-0.032
4.246,0.054,0.959,-0.044
4.246,0.017,1.024,-0.079
4.247,-0.028,1.103,-0.065
4.248,-0.085,1.188,0.024
4.249,-0.123,1.278,0.163
4.249,-0.135,1.363,0.28
4.263,-0.145,1.44,0.319
4.264,-0.16,1.495,0.281
4.265,-0.159,1.53,0.183
4.267,-0.147,1.55,0.051
4.272,-0.122,1.551,-0.03
4.277,-0.084,1.535,-0.035
4.282,-0.027,1.524,0.001
4.287,0.039,1.516,0.058
4.298,0.111,1.519,0.15
